scene,from,to,predicted_distance,true_distance,error,error_percentage
S0,Camera,T1,362.7508506045529,390.0,27.24914939544709,6.986961383447972
S1,Camera,T0,475.1552894093727,490.0,14.8447105906273,3.0295327735974085
S2,Camera,T0,217.45385617386435,225.0,7.546143826135648,3.3538417005047325
S3,Camera,T0,315.2919858599289,330.0,14.7080141400711,4.456973981839727
S3,Camera,T1,357.6761386262097,380.0,22.32386137379029,5.874700361523762
S4,Camera,T0,328.9477090862775,360.0,31.05229091372252,8.625636364922922
S4,Camera,T1,225.3242753868697,260.0,34.67572461313034,13.336817158896286
S5,Camera,T0,315.25584499408245,325.0,9.744155005917548,2.9982015402823228
S5,Camera,T1,242.3234627960088,260.0,17.676537203991217,6.798668155381238
S6,Camera,T0,303.1208381278997,360.0,56.879161872100326,15.799767186694536
S6,Camera,T1,253.2173363652337,290.0,36.78266363476629,12.683677115436652
S7,Camera,T0,312.7179945989405,325.0,12.282005401059507,3.7790785849413866
S7,Camera,T1,335.1188641560425,340.0,4.881135843957509,1.4356281893992673
S8,Camera,T0,4.277790016418902,160.0,155.7222099835811,97.3263812397382
S8,Camera,T1,8.3904126763209,175.0,166.6095873236791,95.20547847067378
