scene,from,to,predicted_distance,true_distance,error,error_percentage
S0,Camera,T1,384.25952693177874,390.0,5.740473068221263,1.4719161713387854
S1,Camera,T0,484.2224460080148,490.0,5.777553991985201,1.179092651425551
S2,Camera,T0,228.1800307240163,225.0,3.180030724016291,1.4133469884516847
S3,Camera,T0,323.0869369760953,330.0,6.913063023904726,2.0948675830014323
S3,Camera,T1,441.7717887989597,380.0,61.77178879895968,16.255733894463074
S4,Camera,T0,422.055117264932,360.0,62.055117264932,17.237532573592222
S4,Camera,T1,256.21590942702113,260.0,3.7840905729788687,1.4554194511457186
